Compartment,Plant_sample,Seq_ID,gRNA,Cas9,Cycle_No
Root,Root_1,2OsRE1_1,gRNA1048,Yes,15
Root,Root_2,2OsRE1_2,gRNA1048,Yes,15
Root,Root_3,2OsRE1_3,gRNA1048,Yes,15
Root,Root_1,2OsRE2_1,gRNA1171,Yes,15
Root,Root_2,2OsRE2_2,gRNA1171,Yes,15
Root,Root_3,2OsRE2_3,gRNA1171,Yes,15
Root,Root_1,2OsRE3_1,gRNA1196,Yes,15
Root,Root_2,2OsRE3_2,gRNA1196,Yes,15
Root,Root_3,2OsRE3_3,gRNA1196,Yes,15
Root,Root_1,2OsRE3_4,No,No,15
Root,Root_2,2OsRE3_5,No,No,15
Root,Root_3,2OsRE3_6,No,No,15
Soil,Soil_1,bS1_1,gRNA1048,No,8
Soil,Soil_2,bS1_2,gRNA1048,No,8
Soil,Soil_3,bS1_3,gRNA1048,No,8
Soil,Soil_4,bS1_4,gRNA1048,No,8
Soil,Soil_5,Bs1171_1,gRNA1171,Yes,8
Soil,Soil_6,Bs1171_2,gRNA1171,Yes,8
Soil,Soil_7,Bs1171_3,gRNA1171,Yes,8
Soil,Soil_5,Bs1171_4,gRNA1171,No,8
Soil,Soil_6,Bs1171_5,gRNA1171,No,8
Soil,Soil_7,Bs1171_6,gRNA1171,No,8
Soil,Soil_5,Bs1196_1,gRNA1196,Yes,8
Soil,Soil_6,Bs1196_2,gRNA1196,Yes,8
Soil,Soil_7,Bs1196_3,gRNA1196,Yes,8
Soil,Soil_5,Bs1196_4,gRNA1196,No,8
Soil,Soil_6,Bs1196_5,gRNA1196,No,8
Soil,Soil_7,Bs1196_6,gRNA1196,No,8
Soil,Soil_1,C_BS1_1,gRNA1048,Yes,8
Soil,Soil_2,C_BS1_2,gRNA1048,Yes,8
Soil,Soil_3,C_BS1_3,gRNA1048,Yes,8
Root,Root_1,OsRE1_1,gRNA1048,Yes,8
Root,Root_2,OsRE1_2,gRNA1048,Yes,8
Root,Root_3,OsRE1_3,gRNA1048,Yes,8
Root,Root_1,OsRE2_1,gRNA1171,Yes,8
Root,Root_2,OsRE2_2,gRNA1171,Yes,8
Root,Root_3,OsRE2_3,gRNA1171,Yes,8
Root,Root_1,OsRE3_1,gRNA1196,Yes,8
Root,Root_2,OsRE3_2,gRNA1196,Yes,8
Root,Root_3,OsRE3_3,gRNA1196,Yes,8
Root,Root_1,OsRE3_4,No,No,8
Root,Root_2,OsRE3_5,No,No,8
Root,Root_3,OsRE3_6,No,No,8
